129,114,78
126,117,75
123,112,82
127,111,78
134,118,76
129,123,78
148,119,70
161,75,74
153,-6,65
77,-64,54
-2,-31,72
-6,117,77
43,212,2
51,195,-150
12,101,-193
-13,62,-183
-32,86,-156
-2,172,-138
72,223,-58
160,176,1
181,70,54
134,-39,54
36,-94,4
-40,1,46
25,164,62
119,211,-66
126,112,-191
100,18,-201
54,-35,-180
21,1,-193
32,128,-179
100,198,-96
171,169,1
175,57,66
136,-64,28
42,-100,-28
-39,2,59
-3,182,35
67,217,-93
37,135,-186
-14,82,-185
-66,95,-122
-37,171,-63
52,212,-20
136,191,-8
187,140,5
198,78,27
159,-7,64
101,-70,60
34,-21,83
19,110,99
28,211,5
15,196,-125
-49,103,-148
-93,78,-38
-40,158,37
163,173,4
212,85,22
153,-31,51
38,-80,23
-40,46,77
44,197,22
55,201,-109
-24,172,-124
-73,141,-10
-19,88,88
43,139,93
101,197,34
168,177,-17
201,99,20
148,-13,68
36,-71,38
-39,82,66
29,214,-20
26,185,-136
-15,124,-169
-37,73,-173
-55,100,-158
-21,189,-122
75,223,-51
176,151,17
176,23,58
110,-84,10
-3,-89,-10
-43,58,70
51,188,49
147,198,-67
155,99,-174
139,-15,-174
126,-52,-157
140,41,-197
152,180,-103
139,158,70
139,7,87
202,18,19
181,143,16
80,220,-33
48,179,-152
-8,19,-176
79,-71,-151
184,-35,-115
219,92,-69
145,187,2
29,157,64
-24,33,80
63,-58,71
150,34,81
117,156,68
55,224,-21
-7,200,-82
-46,134,-118
-27,65,-167
9,70,-192
31,136,-187
39,204,-119
40,209,7
-27,106,75
-43,-43,17
64,-93,15
110,106,96
111,209,-8
125,152,-153
106,25,-192
136,-26,-175
134,-48,-165
87,-54,-167
12,14,-207
62,156,-179
123,206,-76
155,169,27
170,73,74
139,-38,58
67,-107,-18
-55,-37,4
-37,146,45
80,222,-50
128,135,-174
118,-16,-182
64,-63,-155
22,-12,-182
25,136,-185
126,206,-73
175,114,57
147,-30,54
77,-101,-32
-43,-29,37
-4,179,34
127,193,-120
